Ncol	Ntst	Ntime	tol	smax	Time duration (s)
4	30	120	1e-3	1e0	8.0
4	30	120	1e-6	1e0	8.6
4	30	120	1e-9	1e0	9.7
4	20	80	1e-9	1e0	6.4
4	20	80	1e-6	1e0	5.8
4	20	80	1e-3	1e0	5.2
3	15	45	1e-3	1e0	2.1
3	15	45	1e-6	1e0	2.3
3	15	45	1e-9	1e0	2.4
3	10	30	1e-9	1e0	1.4
3	10	30	1e-6	1e0	1.4
3	10	30	1e-3	1e0	1.3
4	30	120	1e-9	5e-1	17.1
4	30	120	1e-6	5e-1	13.6
4	30	120	1e-3	5e-1	12.9
4	20	80	1e-3	5e-1	7.2
4	20	80	1e-6	5e-1	7.6
4	20	80	1e-9	5e-1	9.4
3	15	45	1e-9	5e-1	4.1
3	15	45	1e-6	5e-1	3.4
3	15	45	1e-3	5e-1	3.2
3	10	30	1e-3	5e-1	1.9
3	10	30	1e-6	5e-1	2.1
3	10	30	1e-9	5e-1	2.4
4	30	120	1e-9	1e-1	66.3
4	30	120	1e-6	1e-1	57.6
4	30	120	1e-3	1e-1	57.5
4	20	80	1e-3	1e-1	31.1
4	20	80	1e-6	1e-1	31.4
4	20	80	1e-9	1e-1	36.9
3	15	45	1e-9	1e-1	16.4
3	15	45	1e-6	1e-1	13.4
3	15	45	1e-3	1e-1	13.2
3	10	30	1e-3	1e-1	7.6
3	10	30	1e-6	1e-1	7.8
3	10	30	1e-9	1e-1	10.0
